Date,FOB_China,FOB_Japan
2024-11-01,493.7003337645732,493.7003337645732
2024-12-01,493.837054100686,493.837054100686
2025-01-01,493.9752714693971,493.9752714693971
2025-02-01,494.1111035668696,494.1111035668696
2025-03-01,494.2455088018346,494.2455088018346
2025-04-01,494.3804359407672,494.3804359407672
2025-05-01,494.5162020914871,494.5162020914871
2025-06-01,494.6521225835044,494.6521225835044
2025-07-01,494.787789801694,494.787789801694
2025-08-01,494.9233253883616,494.9233253883616
2025-09-01,495.05895089617593,495.05895089617593
2025-10-01,495.1947057214632,495.1947057214632
2025-11-01,495.330512633078,495.330512633078
2025-12-01,495.4663236001708,495.4663236001708
2026-01-01,495.6021521334084,495.6021521334084
2026-02-01,495.73802406757096,495.73802406757096
2026-03-01,495.8739439617067,495.8739439617067
